venue_name,city_name,loc_lat,loc_long,muni_code,muni_name,NUTS3,NUTS3_name
Gals Rock,Paris,48.8801085,2.3372869,75056,Paris,FR101,Paris
Les Pres De Landas,Rousson,44.202505,4.134146,30223,Rousson,FRJ12,Gard
Atelier Des Forges,Arles,43.6748369,4.6351216,13004,Arles,FRL04,Bouches-du-Rhône
L'Orange Bleue,Vitry Le François,48.72642,4.57879,51649,Vitry-le-François,FRF23,Marne
Jazz Club Étoile,Paris,48.87944,2.28502,75056,Paris,FR101,Paris
Maison Folie de Moulins,Lille,50.6231,3.06773,59350,Lille,FRE11,Nord
Studio Saglio,Strasbourg,48.5572,7.73839,67482,Strasbourg,FRF11,Bas-Rhin
Woodstock Boogie Bar,Limoges,45.8372186,1.2492242,87085,Limoges,FRI23,Haute-Vienne
Chapelle Saint-Jacques,Vendôme,47.79379,1.06668,41269,Vendôme,FRB05,Loir-et-Cher
Théâtre des Nouveautés,Tarbes,43.23015,0.0756,65440,Tarbes,FRJ26,Hautes-Pyrénées 
Sud de France Arena,Pérols,43.5742,3.94766,34198,Pérols,FRJ13,Hérault
Centre Paris Anim' Dunois,Paris,48.8331,2.36633,75056,Paris,FR101,Paris
Patio-arene,Laval,48.06607,-0.7722,53130,Laval,FRG03,Mayenne
Salle du Bois de l'Aune,Aix-en-Provence,43.5265269,5.414855,13001,Aix-en-Provence,FRL04,Bouches-du-Rhône
Le Colisée - Théâtre de Roubaix,Roubaix,50.69105,3.16247,59512,Roubaix,FRE11,Nord
Pavillon Noir,Aix-en-Provence,43.52542,5.44007,13001,Aix-en-Provence,FRL04,Bouches-du-Rhône
Fondation Vasarely,Aix-en-Provence,43.5212945,5.4249089,13001,Aix-en-Provence,FRL04,Bouches-du-Rhône
Cathédrale Saint-Étienne d'Auxerre,Auxerre,47.7982,3.57378,89024,Auxerre,FRC14,Yonne
Église Sainte Eugénie,Biarritz,43.48239,-1.56373,64122,Biarritz,FRI15,Pyrénées-Atlantiques
Domaine de Fontblanche,Vitrolles,43.44967,5.258,13117,Vitrolles,FRL04,Bouches-du-Rhône
Sens Cathedral,Sens,48.19769,3.28317,89387,Sens,FRC14,Yonne
Petit Kursaal,Besançon,47.23441,6.02642,25056,Besançon,FRC21,Doubs
Église Saint-Michel,Cassis,43.2161,5.53785,13022,Cassis,FRL04,Bouches-du-Rhône
Cathedrale,Nevers,46.990896,3.162845,58194,Nevers,FRC12,Nièvre
Le Comédien,Lille,50.62925,3.057256,59350,Lille,FRE11,Nord
Quai De La Bretagne,Lorient,47.7482524,-3.3702449,56121,Lorient,FRH04,Morbihan
Amphithéâtre Jean Claude Izzo,Marseille,43.3059696,5.3690348,13055,Marseille,FRL04,Bouches-du-Rhône
Espace Bonnefoy,Toulouse,43.6166,1.45383,31555,Toulouse,FRJ23,Haute-Garonne
La Dynamo,Toulouse,43.60541,1.45546,31555,Toulouse,FRJ23,Haute-Garonne
