NUTS3,population,population_density,population_median_age,gender_ratio
FR101,2117702,20705.9,38.7,1.1224917764321554
FR102,1444389,245.2,38.6,1.045126648911218
FR103,1457312,641.3,39.9,1.0516633068173737
FR104,1312419,724.5,38.2,1.0416855527855915
FR105,1637090,9515.3,38.4,1.0986741539637384
FR106,1673645,7080.1,35.3,1.0412593962391028
FR107,1420404,5879.1,37.8,1.0815286266332882
FR108,1266471,1019.1,36.9,1.0579194939780883
FRB01,298249,41,48.4,1.0597381828754948
FRB02,429570,72.5,43.3,1.0393256829876147
FRB03,216241,31.7,50.7,1.0660174131586033
FRB04,616107,100.7,43.3,1.0749513314390167
FRB05,327388,51.4,47.3,1.0584324398215461
FRB06,685081,101.4,42,1.0477518060992912
FRC11,535786,61,42.8,1.0668188820422535
FRC12,199379,29.3,51.8,1.0870708113481686
FRC13,548526,64.1,48.3,1.0549098018634666
FRC14,331017,44.6,47.1,1.059977382914476
FRC21,548458,104.5,41.1,1.038139298384829
FRC22,257304,51.4,46.7,1.044298053451837
FRC23,232619,43.4,46.5,1.02835697119453
FRC24,137917,230.3,42.9,1.0041103359570511
FRD11,699791,124.6,43.4,1.0774076589139767
FRD12,493646,82.2,47.5,1.0494504367376578
FRD13,274595,44.8,48.6,1.0549680336265057
FRD21,597425,99.7,42.7,1.0462013249088429
FRD22,1254286,200.3,41.8,1.0807501650422957
FRE11,2607165,455.1,39,1.0726735332336323
FRE12,1456588,218.2,41.8,1.0707502965683013
FRE21,524723,71.2,43.3,1.0545343439595851
FRE22,831729,142,40.5,1.0321915043890626
FRE23,565278,92.2,42.2,1.0588557567194468
FRF11,1161777,243.3,41.8,1.0527400828738052
FRF12,768496,218.8,43.9,1.0423629982805287
FRF21,266690,51.1,45.1,1.0396533216140862
FRF22,312183,52.2,42.7,1.0571612248350533
FRF23,565024,69.4,41.4,1.0598312349803858
FRF24,168881,27.1,48,1.038848518725545
FRF31,730393,139.5,41.3,1.0672460368037266
FRF32,179626,29,46.4,1.0185527015611802
FRF33,1050548,169.7,43.5,1.0419907507810255
FRF34,357864,61,47.7,1.057796246503164
FRG01,1480188,215.4,40.4,1.0620247023549154
FRG02,825814,114.8,41.8,1.0578794293555385
FRG03,305719,58.8,44.2,1.0294337327895617
FRG04,567053,90.8,44.3,1.0510554061011246
FRG05,704121,103.5,46.9,1.0386696447577866
FRH01,606868,86.6,48.2,1.069507600816139
FRH02,923400,136.5,46.2,1.0639504213360735
FRH03,1108972,162,40.1,1.049282450158153
FRH04,772967,112.4,47.6,1.058191772135774
FRI11,411988,44.9,51.9,1.0788855673561768
FRI12,1673755,168.6,41.5,1.0867334936763362
FRI13,425229,45.7,48.5,1.0559936824922356
FRI14,329180,61.6,48.6,1.0701378982406087
FRI15,694659,90.2,46.8,1.079597641082163
FRI21,237790,40.7,49.9,1.0629818082807208
FRI22,114142,20.5,53.1,1.0562033386460867
FRI23,370726,67,46.6,1.088364163422612
FRI31,351283,58.9,48.1,1.0651626577979718
FRI32,662822,95.7,49.9,1.0761739165060078
FRI33,374142,62.1,46.2,1.0390786905972569
FRI34,440868,62.8,43.2,1.073940150833067
FRJ11,378330,60.5,48.6,1.07568287577629
FRJ12,755497,130.1,46,1.0755644289833632
FRJ13,1218474,199.5,42.6,1.0946340135732417
FRJ14,76572,14.8,48.4,0.9910198183319571
FRJ15,488379,118.9,47.8,1.1057113342577685
FRJ21,154424,31.4,49,1.0496372764101805
FRJ22,279639,32,49.7,1.0436345045272002
FRJ23,1452541,228.2,38.8,1.0469113424030978
FRJ24,192553,30.6,50.9,1.0492866829400598
FRJ25,175196,33.6,52.5,1.0647958882259112
FRJ26,230404,51.2,49.4,1.077130792511644
FRJ27,393436,68.2,47.8,1.0709272358392279
FRJ28,264886,71.3,44.8,1.0485616633437767
FRK11,333500,45.4,49.9,1.0831423795775719
FRK12,143803,25,51,1.0553327205370324
FRK13,227097,45.4,47.5,1.0383273366624675
FRK14,666796,83.5,43.6,1.0677224333610995
FRK21,666971,118.1,41.5,1.0208941337117459
FRK22,331214,59.7,48.3,1.0530944246000933
FRK23,521319,79.9,44.3,1.0558499882039702
FRK24,1288501,164.5,41,1.0324023822624804
FRK25,770678,161.6,43.4,1.0733998029163945
FRK26,1908625,589.9,37.8,1.0814371428980567
FRK27,444872,71.5,43.7,1.0337626276110816
FRK28,853015,185.4,40.5,1.0327307657769202
FRL01,166198,23.8,49.3,1.0654570185681838
FRL02,140078,24.8,48.8,1.049581521899861
FRL03,1106233,257.2,46.1,1.1149937014404532
FRL04,2061919,433.3,42.3,1.0958298639654211
FRL05,1102074,182.5,48,1.0817950467858377
FRL06,563315,158.3,44.6,1.08122658463038
FRM01,162924,40.4,46.7,1.061194493908816
FRM02,185906,39.8,45.9,1.0255597194196213
FRY10,407810,242.8,46,NA
FRY20,352205,321.3,48.8,1.1649374730963233
FRY30,296058,3.5,26.2,1.014868784881847
FRY40,869993,350.3,37.9,1.0631431907990567
FRY50,299022,804.6,18.1,NA
