muni_code,muni_name,state_code,state_name,state_type,country,country_code,regional_group,regional_group_name
01001,L'Abergement-Clémenciat,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01002,L'Abergement-de-Varey,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01004,Ambérieu-en-Bugey,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01005,Ambérieux-en-Dombes,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01006,Ambléon,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01007,Ambronay,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01008,Ambutrix,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01009,Andert-et-Condon,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01010,Anglefort,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01011,Apremont,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01012,Aranc,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01013,Arandas,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01014,Arbent,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01015,Arboys en Bugey,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01016,Arbigny,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01017,Argis,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01019,Armix,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01021,Ars-sur-Formans,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01022,Artemare,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01023,Asnières-sur-Saône,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01024,Attignat,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01025,Bâgé-Dommartin,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01026,Bâgé-le-Châtel,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01027,Balan,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01028,Baneins,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01029,Beaupont,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01030,Beauregard,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01031,Bellignat,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01032,Béligneux,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01033,Valserhône,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01034,Belley,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01035,Belleydoux,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01036,Valromey-sur-Séran,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01037,Bénonces,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01038,Bény,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01040,Béréziat,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01041,Bettant,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01042,Bey,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01043,Beynost,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01044,Billiat,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01045,Birieux,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01046,Biziat,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01047,Blyes,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01049,La Boisse,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01050,Boissey,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01051,Bolozon,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01052,Bouligneux,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01053,Bourg-en-Bresse,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01054,Bourg-Saint-Christophe,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01056,Boyeux-Saint-Jérôme,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01057,Boz,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01058,Brégnier-Cordon,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01060,Brénod,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01061,Brens,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01062,Bressolles,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01063,Brion,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01064,Briord,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01065,Buellas,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01066,La Burbanche,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01067,Ceignes,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01068,Cerdon,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01069,Certines,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01071,Cessy,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01072,Ceyzériat,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01073,Ceyzérieu,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01074,Chalamont,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01075,Chaleins,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01076,Chaley,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01077,Challes-la-Montagne,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01078,Challex,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01079,Champagne-en-Valromey,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01080,Champdor-Corcelles,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01081,Champfromier,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01082,Chanay,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01083,Chaneins,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01084,Chanoz-Châtenay,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01085,La Chapelle-du-Châtelard,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01087,Charix,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01088,Charnoz-sur-Ain,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01089,Château-Gaillard,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01090,Châtenay,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01092,Châtillon-la-Palud,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01093,Châtillon-sur-Chalaronne,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01094,Chavannes-sur-Reyssouze,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01095,Nivigne et Suran,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01096,Chaveyriat,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01098,Chazey-Bons,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01099,Chazey-sur-Ain,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01100,Cheignieu-la-Balme,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01101,Chevillard,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01102,Chevroux,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01103,Chevry,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01104,Chézery-Forens,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01105,Civrieux,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01106,Cize,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01107,Cleyzieu,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01108,Coligny,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01109,Collonges,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01110,Colomieu,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01111,Conand,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01112,Condamine,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01113,Condeissiat,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01114,Confort,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01115,Confrançon,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01116,Contrevoz,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01117,Conzieu,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01118,Corbonod,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01121,Corlier,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01123,Cormoranche-sur-Saône,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01124,Cormoz,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01125,Corveissiat,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
01127,Courmangoux,FRK21,Ain,NUTS3,France,FR,FRK21,Ain
