regional_group,metric,listen_type,boot_m,boot_med,boot_sd,boot_lower_ci,boot_upper_ci,n_users,user_pop_size_log10
FR101,artist_div_q0,A,766.078,767,12.466006470290216,741,790,111235,5.046241459145623
FR101,artist_div_q0,O,774.942,775,12.962509890552127,749,799,111235,5.046241459145623
FR101,artist_div_q1,A,673.0034063575067,673.9555152915343,17.5054315788577,638.1833376825585,706.113376580853,111235,5.046241459145623
FR101,artist_div_q1,O,673.4053169525877,674.3696040678557,19.014411142776037,635.6258001632119,708.7872086428268,111235,5.046241459145623
FR101,artist_div_q2,A,549.4110888473772,550.469387755104,25.476179827157136,498.48189269289014,597.853519912192,111235,5.046241459145623
FR101,artist_div_q2,O,530.2013272191067,532.2315835313319,28.804121335435866,469.64475638667494,584.6406522716969,111235,5.046241459145623
FR101,artist_gini,A,0.20279359575951997,0.2024973379617797,0.010092436512187605,0.18322507779592961,0.22256029614520573,111235,5.046241459145623
FR101,artist_gini,O,0.19973263251338752,0.19918591025624122,0.010825629180263781,0.17953386236314312,0.22214359502365255,111235,5.046241459145623
FR101,genre_div_q0,A,63.815,64,4.254512413411895,56,72,111235,5.046241459145623
FR101,genre_div_q0,O,75.393,75,5.028502444748048,66,85,111235,5.046241459145623
FR101,genre_div_q1,A,15.217335526562245,15.198845656702545,0.7170342975285917,13.873088002530002,16.65497343990441,111235,5.046241459145623
FR101,genre_div_q1,O,18.22301426828275,18.223738753466897,0.8959189203498307,16.563044502653447,19.992110899463807,111235,5.046241459145623
FR101,genre_div_q2,A,8.416887020066056,8.382299439857558,0.41757071151090247,7.621925452917304,9.27168034184665,111235,5.046241459145623
FR101,genre_div_q2,O,9.540595889539713,9.521235711201628,0.4997719672315398,8.580495058075025,10.564122004684316,111235,5.046241459145623
FR101,genre_gini,A,0.8112699931147035,0.8116741313442519,0.007340270209752721,0.795892707174515,0.824782151227445,111235,5.046241459145623
FR101,genre_gini,O,0.8004544552977725,0.8006419370588356,0.006886049835180542,0.7871463842763768,0.8129401030809448,111235,5.046241459145623
FR101,ind_div,A,42.81722,42.81,1.1128734694290081,40.71975,45.01,111235,5.046241459145623
FR101,ind_div,O,42.81722,42.81,1.1128734694290081,40.71975,45.01,111235,5.046241459145623
FR101,song_age,A,1921.8555926218514,1924.158076474837,80.79557855316725,1770.448783956054,2074.0598486916915,111235,5.046241459145623
FR101,song_age,O,1921.8555926218514,1924.158076474837,80.79557855316725,1770.448783956054,2074.0598486916915,111235,5.046241459145623
FR101,song_div_q0,A,965.761,966,5.937266216882172,953,977,111235,5.046241459145623
FR101,song_div_q0,O,970.327,971,5.770734127680134,959,981,111235,5.046241459145623
FR101,song_div_q1,A,952.4399746720658,952.6379980440403,8.311156241408396,935.134062632192,968.6181892267357,111235,5.046241459145623
FR101,song_div_q1,O,957.9359803155662,958.2607780737477,8.422175782226697,940.3296385581197,973.4947559302038,111235,5.046241459145623
FR101,song_div_q2,A,931.6103942872692,932.8358208955148,12.24685338336355,907.3999184618161,954.24408506414,111235,5.046241459145623
FR101,song_div_q2,O,937.2812754466629,938.0863039399542,13.729952729815349,907.4410163339315,961.5384615384507,111235,5.046241459145623
FR101,song_gini,A,0.033182211852924255,0.032969948186529104,0.005590830773130305,0.022481557377049242,0.045012500000000615,111235,5.046241459145623
FR101,song_gini,O,0.028939674655113438,0.02848041237113419,0.0055089324853399985,0.018687755102041365,0.03979780793319409,111235,5.046241459145623
FR102,artist_div_q0,A,707.605,708,14.241551769269968,679,735,31159,4.493583511213273
FR102,artist_div_q0,O,734.197,734,13.232206251501713,708,760,31159,4.493583511213273
FR102,artist_div_q1,A,588.6130900250965,588.5235136955246,19.472358211089308,549.9636293995599,625.295327582889,31159,4.493583511213273
FR102,artist_div_q1,O,611.3425695246261,610.7462860996828,19.172719094674186,575.5734509187531,647.6566270786413,31159,4.493583511213273
FR102,artist_div_q2,A,443.74767853730475,443.7070637309161,25.746331461411483,394.5762640226025,495.0187525938206,31159,4.493583511213273
FR102,artist_div_q2,O,447.26177275731214,446.8275245755138,27.12901382173633,396.49630136351215,499.32648243214186,31159,4.493583511213273
FR102,artist_gini,A,0.25218823016251224,0.25214630383470016,0.011473228458317374,0.23071526602098447,0.2753100794642434,31159,4.493583511213273
FR102,artist_gini,O,0.23512930934942453,0.23517329865800907,0.011083345242375288,0.2137331852400716,0.2558630888970685,31159,4.493583511213273
FR102,genre_div_q0,A,65.829,66,4.49933361765973,57,74,31159,4.493583511213273
FR102,genre_div_q0,O,74.311,74,4.6606867520786075,65.975,83.02499999999998,31159,4.493583511213273
FR102,genre_div_q1,A,14.776951827951889,14.77161482434979,0.7286198941732992,13.356350866415692,16.26385418353845,31159,4.493583511213273
FR102,genre_div_q1,O,17.6444268272856,17.629859090680213,0.92831515953227,15.884149081982983,19.473813806872432,31159,4.493583511213273
FR102,genre_div_q2,A,7.992860179443572,7.983989740752381,0.3873016206779364,7.272594746013811,8.760399550265268,31159,4.493583511213273
FR102,genre_div_q2,O,9.293001144719561,9.283374810898849,0.48181041789880746,8.388518438997679,10.272106136264602,31159,4.493583511213273
FR102,genre_gini,A,0.8175937928417379,0.8176480779862021,0.0071380939744744255,0.8027467596755762,0.8310425000669948,31159,4.493583511213273
FR102,genre_gini,O,0.8021934248158414,0.8025974711557764,0.007528426946347438,0.785694379418079,0.8154463590574684,31159,4.493583511213273
FR102,ind_div,A,40.16228,40.17,1.1737628042840345,37.93,42.52,31159,4.493583511213273
FR102,ind_div,O,40.16228,40.17,1.1737628042840345,37.93,42.52,31159,4.493583511213273
FR102,song_age,A,1790.800405057765,1786.961462788674,80.88887413306304,1638.401418063489,1957.8867088268958,31159,4.493583511213273
FR102,song_age,O,1790.800405057765,1786.961462788674,80.88887413306304,1638.401418063489,1957.8867088268958,31159,4.493583511213273
FR102,song_div_q0,A,954.293,954,6.613841084717241,941,967,31159,4.493583511213273
FR102,song_div_q0,O,958.608,959,6.537666026731347,945,971,31159,4.493583511213273
FR102,song_div_q1,A,936.2786060882306,936.2595600640793,9.25883695497537,917.7833646912156,953.7845626524298,31159,4.493583511213273
FR102,song_div_q1,O,941.0412015522369,941.1458527341297,9.704988548651993,921.6082665475708,959.2722696125094,31159,4.493583511213273
FR102,song_div_q2,A,908.0896447699608,909.0909090909031,13.698327534458521,878.7346221441101,934.5794392523281,31159,4.493583511213273
FR102,song_div_q2,O,911.7644527324009,912.4087591240815,16.10940092057152,878.734622144107,941.6195856873741,31159,4.493583511213273
FR102,song_gini,A,0.043912966289373835,0.044013641133262275,0.006123364695557744,0.032091718426501076,0.056253191489359415,31159,4.493583511213273
FR102,song_gini,O,0.040043680216911626,0.039865344467640854,0.0061644777043925346,0.02827422680412386,0.05250000000000111,31159,4.493583511213273
FR103,artist_div_q0,A,717.356,718,13.32729833390406,691,741,41361,4.616591030309093
FR103,artist_div_q0,O,745.548,746,13.91637026531565,717.9749999999999,771,41361,4.616591030309093
FR103,artist_div_q1,A,605.2111839778194,605.0896802856566,17.897674009480152,570.3325444625206,640.598497364821,41361,4.616591030309093
FR103,artist_div_q1,O,631.0386761720125,631.8317766955751,20.144772226828888,591.4512877392993,670.0188095371808,41361,4.616591030309093
FR103,artist_div_q2,A,468.2009950844954,468.0719595975745,23.767149726131127,419.94355193779154,515.5375797348598,41361,4.616591030309093
FR103,artist_div_q2,O,476.44230242831577,478.1588285713823,28.942335108815403,417.82541052370607,532.6261250337488,41361,4.616591030309093
FR103,artist_gini,A,0.24299403398623395,0.24278895923768373,0.010532182252047441,0.22261143815361142,0.2630533840284169,41361,4.616591030309093
FR103,artist_gini,O,0.22451563158253346,0.2239485443746253,0.011648011303358685,0.2020273494821681,0.2477663841562354,41361,4.616591030309093
FR103,genre_div_q0,A,64.72,65,4.3569005706560056,56,73,41361,4.616591030309093
FR103,genre_div_q0,O,74.551,75,4.947714510648217,65,85,41361,4.616591030309093
FR103,genre_div_q1,A,14.495381327032348,14.467916991246957,0.7068634356510806,13.25594844981386,15.942700962612241,41361,4.616591030309093
FR103,genre_div_q1,O,17.60334440524769,17.57209917134469,0.8774478883905171,15.935732598689878,19.32385768279991,41361,4.616591030309093
FR103,genre_div_q2,A,7.686234136227977,7.677667674730145,0.4046252934001553,6.945608918915027,8.524054886998243,41361,4.616591030309093
FR103,genre_div_q2,O,9.192031145155179,9.159795347760223,0.4678983120198171,8.349557561025405,10.137984030121862,41361,4.616591030309093
FR103,genre_gini,A,0.8178627924983896,0.8184724000760623,0.0070790205300966585,0.8032694421100276,0.8302778733560964,41361,4.616591030309093
FR103,genre_gini,O,0.8033660274855152,0.8034544183632473,0.007320987037874137,0.7882939930802925,0.8173583912871926,41361,4.616591030309093
FR103,ind_div,A,40.45721,40.47,1.1592595043813532,38.1995,42.711,41361,4.616591030309093
FR103,ind_div,O,40.45721,40.47,1.1592595043813532,38.1995,42.711,41361,4.616591030309093
FR103,song_age,A,1835.6361315676345,1837.556411037393,79.601456972337445,1674.6475947575582,1982.5513661497664,41361,4.616591030309093
FR103,song_age,O,1835.6361315676345,1837.556411037393,79.601456972337445,1674.6475947575582,1982.5513661497664,41361,4.616591030309093
FR103,song_div_q0,A,952.873,953,6.64507547195877,939,966,41361,4.616591030309093
FR103,song_div_q0,O,961.589,962,6.5671307438032684,948,973,41361,4.616591030309093
FR103,song_div_q1,A,934.304003563227,934.4734385187717,9.359335355841013,914.759284749814,951.9693746523131,41361,4.616591030309093
FR103,song_div_q1,O,945.4159290602067,945.603946902843,9.629174276310696,925.7636281056915,962.7580008643223,41361,4.616591030309093
FR103,song_div_q2,A,905.2836264637758,905.7971014492709,14.019314950804084,875.6567425569142,931.0986964618187,41361,4.616591030309093
FR103,song_div_q2,O,918.6090385421176,919.1176470588173,15.583500284179452,886.5248226950301,945.1795841209738,41361,4.616591030309093
FR103,song_gini,A,0.04522705418302936,0.045170168067227505,0.0061439538136596455,0.033084715025907346,0.058021748400854986,41361,4.616591030309093
FR103,song_gini,O,0.03722774605490736,0.03694172736732479,0.006201835322286903,0.0263299382716039,0.049879514255545265,41361,4.616591030309093
FR104,artist_div_q0,A,710.297,710,13.272488461096877,685,737,29347,4.467563712055963
FR104,artist_div_q0,O,736.419,736,13.542630536267373,710,764,29347,4.467563712055963
FR104,artist_div_q1,A,592.8803212887951,592.5888400781942,17.91640458713696,558.6386093967161,630.0115011510364,29347,4.467563712055963
FR104,artist_div_q1,O,614.0147818577735,614.0303047315182,19.69970346123376,575.2489259713851,653.0398562400175,29347,4.467563712055963
FR104,artist_div_q2,A,449.8955154355084,449.6321686301863,23.85420802053094,404.2153132323885,498.50050050050237,29347,4.467563712055963
FR104,artist_div_q2,O,449.7040729805117,450.5357987710761,28.325759535261128,390.27519148873023,504.05159577072084,29347,4.467563712055963
FR104,artist_gini,A,0.24976257491926784,0.24979722023527035,0.010608243076951544,0.22920294985782122,0.27008988920866994,29347,4.467563712055963
FR104,artist_gini,O,0.2333825802695664,0.23331814951003427,0.011370098093554128,0.21039385628386328,0.2555732609132795,29347,4.467563712055963
FR104,genre_div_q0,A,65.115,65,4.4653907684227025,56,74,29347,4.467563712055963
FR104,genre_div_q0,O,74.273,74,4.566324815682993,66,83,29347,4.467563712055963
FR104,genre_div_q1,A,14.524967065606209,14.49391787774822,0.6949228313412336,13.172604595979406,15.93162787933367,29347,4.467563712055963
FR104,genre_div_q1,O,17.6714674681363,17.660713515844115,0.8911275048641621,15.97480448121048,19.381113436954728,29347,4.467563712055963
FR104,genre_div_q2,A,7.839449458636306,7.812015453978059,0.3882874543579994,7.149521866292487,8.637276559462986,29347,4.467563712055963
FR104,genre_div_q2,O,9.329702994760236,9.32066608871845,0.4687869602832922,8.380610811282729,10.289634012319349,29347,4.467563712055963
FR104,genre_gini,A,0.818721215677967,0.8190936972850363,0.007039562309985244,0.8040198376802598,0.8321051784114851,29347,4.467563712055963
FR104,genre_gini,O,0.8021222179940238,0.8022233099297919,0.007405164740797711,0.7870271332885822,0.8161344548268995,29347,4.467563712055963
FR104,ind_div,A,40.37903,40.39,1.1324050071419676,38.06975,42.52025,29347,4.467563712055963
FR104,ind_div,O,40.37903,40.39,1.1324050071419676,38.06975,42.52025,29347,4.467563712055963
FR104,song_age,A,1795.264436175718,1790.4154171944726,84.56410943651032,1627.5687304131761,1966.3254033312298,29347,4.467563712055963
